id,label
1,0.9999993
2,1.0
3,1.0
4,1.0
5,3.6849867e-06
6,0.024054911
7,1.3928828e-14
8,0.00041471876
9,3.1847257e-13
10,6.486741e-08
11,7.0195835e-11
12,0.9265276
13,4.940202e-08
14,2.0753382e-06
15,3.1441894e-10
16,0.000977336
17,0.9935801
18,1.0
19,3.6020493e-09
20,4.614433e-07
21,1.0
22,1.0292823e-06
23,0.9999999
24,0.99999654
25,1.1366503e-16
26,1.0
27,0.99999523
28,2.963971e-09
29,0.010268214
30,1.0
31,1.0
32,0.026675286
33,0.9686354
34,3.0856752e-06
35,0.012423353
36,4.649937e-06
37,1.4640752e-11
38,7.711919e-07
39,0.95259035
40,1.2690149e-08
41,0.9999975
42,1.0
43,1.0
44,0.98569876
45,8.322165e-09
46,0.9973483
47,1.546385e-09
48,0.9999999
49,1.0
50,0.0022399707
51,2.2027464e-08
52,1.0594149e-14
53,1.8873333e-10
54,4.2069996e-09
55,6.6551805e-18
56,0.9992981
57,1.0
58,2.753462e-08
59,0.9967583
60,7.571105e-09
61,0.000101748716
62,0.999443
63,0.00010144935
64,2.091318e-06
65,0.99999976
66,0.99465877
67,1.0
68,3.979471e-12
69,0.9999869
70,1.0
71,0.9994005
72,1.0
73,1.0
74,0.99991465
75,0.00014110802
76,1.0
77,0.9999405
78,0.9999999
79,0.999998
80,2.024817e-06
81,0.3795845
82,1.8831484e-13
83,1.0
84,0.13905321
85,0.9994436
86,0.9583924
87,0.9999994
88,0.99999726
89,5.087657e-07
90,0.001368437
91,8.124444e-05
92,6.8353254e-11
93,1.2909228e-12
94,0.99999917
95,0.9999927
96,2.538922e-08
97,1.0
98,0.9463679
99,5.2885984e-09
100,0.0005356021
101,7.4248237e-07
102,1.0
103,1.3578158e-12
104,2.2892382e-10
105,0.9999887
106,0.99680245
107,3.267711e-05
108,1.1201928e-07
109,0.76246274
110,0.9999937
111,0.9999763
112,0.9999026
113,0.99152935
114,1.4933048e-06
115,2.887806e-06
116,4.5652897e-08
117,2.001817e-08
118,0.99987197
119,1.0
120,7.361338e-06
121,0.016425999
122,2.1405002e-08
123,4.3495397e-06
124,0.00075983343
125,8.6102695e-08
126,0.21893874
127,0.9999968
128,7.699978e-08
129,9.0966554e-11
130,0.72726125
131,0.99975926
132,0.99784935
133,9.463871e-09
134,1.1804346e-10
135,3.9197945e-15
136,3.841865e-09
137,1.0
138,0.97123206
139,2.186117e-06
140,2.6016014e-07
141,2.5769324e-08
142,0.9999907
143,0.9999546
144,0.031084428
145,0.15663087
146,1.0
147,0.999995
148,0.11630359
149,2.4327877e-08
150,0.0018904661
151,0.6016957
152,4.525241e-10
153,1.2240895e-09
154,2.85462e-07
155,1.0
156,3.3182133e-07
157,8.780904e-10
158,0.99999976
159,0.99999976
160,0.9997379
161,9.661442e-07
162,9.06397e-12
163,3.8370057e-05
164,0.9717239
165,3.923689e-09
166,0.0015171979
167,0.9979127
168,2.2474064e-14
169,0.00075220794
170,0.00038080642
171,8.548416e-06
172,0.99797994
173,0.4092158
174,1.2377141e-08
175,1.0
176,0.99995375
177,0.99999917
178,0.9999974
179,0.991135
180,1.0553117e-05
181,1.0
182,1.0
183,0.008105415
184,0.0016392026
185,8.885919e-14
186,0.00042066904
187,1.1536493e-13
188,3.6573289e-09
189,0.13060372
190,1.0
191,1.1652173e-09
192,6.676739e-12
193,0.00053424254
194,5.4510593e-07
195,0.99935585
196,0.99999785
197,0.9963846
198,4.0420384e-12
199,0.99974555
200,0.9044315
201,1.0
202,7.497005e-15
203,1.0
204,1.0
205,2.5606584e-10
206,8.4191817e-07
207,0.9999962
208,0.018534876
209,8.389229e-05
210,2.3984419e-14
211,0.99999976
